"11/27/2017","1","12","28","35","40"
"11/26/2017","3","8","17","36","40"
"11/25/2017","3","12","17","27","41"
"11/24/2017","5","6","10","20","40"
"11/23/2017","7","25","26","29","38"
"11/22/2017","1","23","26","35","38"
"11/21/2017","1","11","13","20","29"
"11/20/2017","1","10","28","33","34"
"11/19/2017","6","9","24","34","35"
"11/18/2017","16","20","29","33","37"
"11/17/2017","1","4","21","26","27"
"11/16/2017","2","4","10","30","33"
"11/15/2017","16","18","28","34","40"
"11/14/2017","22","28","30","31","34"
"11/13/2017","10","12","18","22","25"
"11/12/2017","7","11","30","34","40"
"11/11/2017","2","5","20","28","35"
"11/10/2017","5","8","17","24","31"
"11/09/2017","6","21","24","26","33"
"11/08/2017","18","29","35","36","40"
"11/07/2017","13","17","24","33","38"
"11/06/2017","7","11","22","27","31"
"11/05/2017","6","18","23","30","33"
"11/04/2017","2","19","24","28","37"
"11/03/2017","3","5","10","14","41"
"11/02/2017","5","22","25","27","39"
"11/01/2017","3","6","20","23","30"
"10/31/2017","3","4","9","20","33"
"10/30/2017","2","5","15","18","28"
"10/29/2017","2","7","17","25","39"
"10/28/2017","5","12","28","35","37"
"10/27/2017","14","16","17","28","41"
"10/26/2017","3","4","7","20","28"
"10/25/2017","8","10","16","19","38"
"10/24/2017","3","12","21","35","40"
"10/23/2017","3","4","8","10","31"
"10/22/2017","11","28","32","34","41"
"10/21/2017","8","19","22","38","41"
"10/20/2017","8","16","24","28","39"
"10/19/2017","11","12","16","24","39"
"10/18/2017","1","5","25","28","38"
"10/17/2017","6","9","17","26","37"
"10/16/2017","5","9","18","20","40"
"10/15/2017","6","20","21","23","38"
"10/14/2017","3","4","5","16","22"
"10/13/2017","9","17","18","31","33"
"10/12/2017","7","16","25","30","35"
"10/11/2017","1","4","6","13","21"
"10/10/2017","11","14","19","26","38"
"10/09/2017","1","19","31","34","41"
"10/08/2017","2","8","20","30","41"
"10/07/2017","14","15","19","20","39"
"10/06/2017","5","7","13","17","18"
"10/05/2017","12","16","18","29","35"
"10/04/2017","1","8","21","32","36"
"10/03/2017","1","11","12","25","33"
"10/02/2017","2","8","13","16","18"
"10/01/2017","5","7","17","29","39"
"09/30/2017","5","9","10","30","35"
"09/29/2017","19","22","36","38","41"
"09/28/2017","9","13","20","36","37"
"09/27/2017","15","27","31","33","39"
"09/26/2017","5","8","11","20","30"
"09/25/2017","5","9","10","11","40"
"09/24/2017","6","10","23","27","28"
"09/23/2017","5","14","26","40","41"
"09/22/2017","16","23","29","33","41"
"09/21/2017","2","7","19","29","30"
"09/20/2017","10","11","14","30","41"
"09/19/2017","8","19","24","31","36"
"09/18/2017","11","12","15","20","33"
"09/17/2017","1","6","10","22","33"
"09/16/2017","5","8","11","18","31"
"09/15/2017","7","17","24","40","41"
"09/14/2017","17","27","33","36","40"
"09/13/2017","2","24","26","36","37"
"09/12/2017","6","7","30","34","40"
"09/11/2017","3","6","22","23","26"
"09/10/2017","10","21","23","36","39"
"09/09/2017","7","12","22","24","28"
"09/08/2017","3","6","12","20","37"
"09/07/2017","5","15","19","24","40"
"09/06/2017","12","13","18","23","30"
"09/05/2017","10","17","28","33","37"
"09/04/2017","12","22","23","25","39"
"09/03/2017","8","22","27","35","39"
"09/02/2017","4","19","30","32","37"
"09/01/2017","5","20","25","40","41"
"08/31/2017","18","23","31","36","41"
"08/30/2017","10","18","19","35","37"
"08/29/2017","1","2","5","13","34"
"08/28/2017","3","11","20","26","27"
"08/27/2017","1","17","20","39","40"
"08/26/2017","1","10","11","26","37"
"08/25/2017","17","21","31","33","38"
"08/24/2017","14","17","25","26","31"
"08/23/2017","7","8","25","29","36"
"08/22/2017","15","16","25","27","41"
"08/21/2017","18","26","27","28","31"
"08/20/2017","3","4","7","17","40"
"08/19/2017","4","13","21","29","40"
"08/18/2017","8","21","23","32","35"
"08/17/2017","2","8","14","27","30"
"08/16/2017","2","15","25","30","33"
"08/15/2017","7","9","23","30","35"
"08/14/2017","4","10","17","22","35"
"08/13/2017","5","7","17","26","32"
"08/12/2017","3","10","19","28","37"
"08/11/2017","4","6","10","24","41"
